USGS_eventID,magnitude,depth(km),source_lat,source_lon,rake_angle,station_name,station_type,elev(m),station_lat,station_lon,rdist(km),fault_type,Ia_geom,Ia_arith,Ia_max,CAV_geom,CAV_arith,CAV_max,CAV5_geom,CAV5_arith,CAV5_max,CAVstd_geom,CAVstd_arith,CAVstd_max,Vs30,PGA,PGV
usp000d6vk,6.6,16,37.226,138.779,,TCG011,Knet,,36.3867,139.6145,120.4842976,,5.01E-05,5.01E-05,5.16E-05,92.55212624,92.55690167,93.49710134,9.877391103,9.892171208,10.43272296,0,0,0,346.1,,
usp000d6vk,6.6,16,37.226,138.779,,TCG012,Knet,,36.2859,139.8047,139.447946,,0.000272363,0.00027396,0.000303498,289.448872,289.4732919,293.233242,55.35010262,55.40925846,57.96895817,0,12.84272903,25.68545807,356.8,,
usp000d6vk,6.6,16,37.226,138.779,,TCG013,Knet,,36.4368,140.0225,140.0065723,,6.34E-05,6.38E-05,7.10E-05,123.5234372,123.6675166,129.6353564,12.41433585,12.52677278,14.20137774,0,0,0,369.1,,
usp000d6vk,6.6,16,37.226,138.779,,TCG014,Knet,,36.545,140.1742,142.9018902,,0.000441883,0.000452728,0.000551225,289.739679,291.0403515,318.5249764,87.3422916,88.6712,103.9651795,82.27273183,84.25852513,102.4435919,382.9,,
usp000d6vk,6.6,16,37.226,138.779,,TKY001,Knet,,35.8029,139.0956,166.3967355,,9.91E-06,1.00E-05,1.15E-05,41.18666261,41.21925361,42.85806171,0.869737272,0.902480804,1.143372233,0,0,0,446.4,,
usp000d6vk,6.6,16,37.226,138.779,,TKY002,Knet,,35.7304,139.1454,174.963633,,9.83E-06,9.92E-06,1.12E-05,38.83596243,39.00644023,42.64929642,1.025814983,1.042526756,1.228445169,0,0,0,383.7,,
usp000d6vk,6.6,16,37.226,138.779,,TKY003,Knet,,35.7968,139.2912,170.104314,,0.000172088,0.000175422,0.000209461,156.5132194,156.7425778,165.2188875,37.43259367,37.86859086,43.59843417,0,12.49888099,24.99776198,215,,
usp000d6vk,6.6,16,37.226,138.779,,TKY004,Knet,,35.6282,139.4034,190.6774315,,6.04E-05,6.08E-05,6.77E-05,119.6041267,119.612658,121.0412353,12.33072945,12.5415851,14.83166546,0,0,0,302.3,,
usp000d6vk,6.6,16,37.226,138.779,,TKY005,Knet,,35.5782,139.4156,196.3256651,,6.33E-05,6.34E-05,6.59E-05,122.6355348,122.8071674,129.2976194,12.56655778,12.63400321,13.93771436,0,0,0,242.3,,
usp000d6vk,6.6,16,37.226,138.779,,TKY007,Knet,,35.7107,139.6859,190.0889562,,0.000105293,0.000105805,0.000116198,200.3777361,200.8890725,215.2132592,18.69901774,18.82118513,20.96215345,0,0,0,261.7,,
usp000d6vk,6.6,16,37.226,138.779,,TKY013,Knet,,35.6596,139.8343,200.7149968,,0.000209993,0.00021008,0.000216109,471.7432843,471.7560008,475.219808,33.29029013,33.29100426,33.50905947,0,0,0,152.2391993,,
usp000d6vk,6.6,16,37.226,138.779,,TKY014,Knet,,35.689,139.8354,197.8140189,,0.000136104,0.000137257,0.00015501,339.8447907,340.3858857,359.5710216,20.46908283,20.72868119,23.99898269,0,0,0,151.1439978,,
usp000d6vk,6.6,16,37.226,138.779,,TKY015,Knet,,35.7313,139.8121,192.6707395,,0.000240252,0.000240554,0.000252592,361.4433174,361.5034881,368.0989586,42.92231563,42.97874009,45.18031236,19.89665412,21.1069966,28.15174358,144.3192013,,
usp000d6vk,6.6,16,37.226,138.779,,TKY016,Knet,,35.6485,139.799,200.4907362,,0.000162275,0.000163295,0.000181514,344.3501344,344.7441659,361.2221769,28.63239715,29.34356852,35.76469357,0,0,0,153.4959998,,
usp000d6vk,6.6,16,37.226,138.779,,TKY017,Knet,,35.6474,139.8093,200.9880206,,0.0001669,0.000168201,0.000189078,346.2549702,346.6980164,364.2197213,29.62642883,30.23444435,36.26738225,0,0,0,153.0651112,,
usp000d6vk,6.6,16,37.226,138.779,,TKY020,Knet,,35.6657,139.8087,199.1204024,,0.000113701,0.000115569,0.000136264,299.2207922,299.709052,316.8097357,15.57550528,15.8666061,18.89196962,0,0,0,150.8823955,,
usp000d6vk,6.6,16,37.226,138.779,,TKY021,Knet,,35.6876,139.8193,197.32598,,0.000278987,0.000287505,0.000356969,401.1659176,403.012662,441.5498167,56.17992635,59.06253069,77.28884153,0,5.981615018,11.96323004,151.3999939,,
usp000d6vk,6.6,16,37.226,138.779,,TKY023,Knet,,35.7254,139.8249,193.7653692,,0.000271885,0.000275875,0.000322628,387.3718639,387.578898,400.2454371,49.18240995,50.41700388,61.50595477,23.15937294,25.98311805,37.7630106,143.8096029,,
usp000d6vk,6.6,16,37.226,138.779,,TKY024,Knet,,35.7401,139.8624,193.8225509,,0.000151048,0.000151058,0.000152799,340.8373396,340.8548561,344.3104062,26.62518497,26.63521818,27.36622634,0,0,0,156.2988591,,
usp000d6vk,6.6,16,37.226,138.779,,TKY025,Knet,,35.7138,139.8971,197.8554079,,0.000116464,0.000116799,0.000125643,299.6537924,299.7664352,307.98351,18.35732566,18.35934748,18.6318076,0,0,0,142.6624004,,
usp000d6vk,6.6,16,37.226,138.779,,TYM001,Knet,,36.976,137.6257,115.70317,,2.63E-05,2.76E-05,3.59E-05,66.6431435,67.12962035,75.19667391,3.845366686,4.585690292,7.084031844,0,0,0,277,,
usp000d6vk,6.6,16,37.226,138.779,,TYM002,Knet,,36.866,136.9747,174.7453901,,0.000141549,0.000142566,0.000159561,251.5950251,252.1322756,268.5830435,26.34874728,26.52406097,29.56861794,0,0,0,163.4,,
usp000d6vk,6.6,16,37.226,138.779,,TYM003,Knet,,36.8163,137.4192,139.1372932,,1.47E-05,1.48E-05,1.67E-05,64.63709095,64.89186693,70.63650501,0.67000289,0.970564424,1.672769116,0,0,0,527,,
