USGS_eventID,magnitude,depth(km),source_lat,source_lon,station_name,elev(m),station_lat,station_lon,rdist(km),rake_angle,fault_type,Ia_geom,Ia_arith,Ia_max,CAV_geom,CAV_arith,CAV_max,CAV5_geom,CAV5_arith,CAV5_max,CAVstd_geom,CAVstd_arith,CAVstd_max, Vs30,PGA,PGV
usp000a1b0,6.7,10.0,35.455999999999996,133.134,AIC009,,35.0812,137.1464,367.4178005275792,,,0.0013229630183432832,0.0013229739307758178,0.0013283473476075661,46.98674992952696,47.00327124805442,48.24940088748928,0.8274613480499139,1.1231929983139035,1.8827127340316767,20.678209706317826,20.69337881870269,21.485572151088718,,,
usp000a1b0,6.7,10.0,35.455999999999996,133.134,EHM001,,33.981,133.549,167.9868038123293,,,0.030778780396372375,0.033679561763680484,0.047353608637428254,185.54914227025824,188.29928296914528,220.3638392496512,55.94183623297882,58.02321519170547,73.42465863267994,83.10033528728336,92.89872846713587,134.4259246878263,,,
usp000a1b0,6.7,10.0,35.455999999999996,133.134,EHM002,,33.9216,133.3074,170.9583954512342,,,0.0014642387641118865,0.0014671428791020555,0.0015594091750717324,46.06545428437753,46.07142121411171,46.81288885469196,1.5113825691156162,1.5148659147134351,1.6175375726042682,11.212599497260845,11.27862573256012,12.497235977549513,,,
usp000a1b0,6.7,10.0,35.455999999999996,133.134,EHM003,,33.9266,133.0843,169.72502112203398,,,0.0199653011847714,0.01998615502615508,0.020898920785191604,170.84189289983794,170.8489083276319,172.39716771929906,40.27871097340125,40.295679985294704,41.46498225523422,43.94766954807511,48.023949336660785,67.38633687496186,,,
usp000a1b0,6.7,10.0,35.455999999999996,133.134,EHM004,,34.0624,132.9982,155.09975379863616,,,0.04432310516830064,0.04514077718993519,0.05369367807508134,217.9529160016708,218.3061221763969,230.71939676711625,70.2431503564077,70.4093467959472,75.24421434729355,131.43339923622315,134.36710356574866,162.291646281077,,,
usp000a1b0,6.7,10.0,35.455999999999996,133.134,EHM005,,33.7974,132.9141,185.0962863518142,,,0.00481623333100139,0.00481689021634564,0.004896438048984878,85.65830609629704,85.6742063617702,87.32473125775591,12.408727639747019,12.44302815069759,13.366298382878346,13.630806292544847,13.638788584917787,14.10534391840299,,,
usp000a1b0,6.7,10.0,35.455999999999996,133.134,EHM007,,33.9621,132.7722,169.00764960780091,,,0.02781714259145333,0.028773867213244264,0.03613199282050092,173.5672630439582,174.30571078956237,190.33337478916008,49.83355062699071,50.96038999954895,61.617715218068035,87.36420897522406,93.84420763462782,128.11125152091185,,,
usp000a1b0,6.7,10.0,35.455999999999996,133.134,EHM009,,33.6324,132.7963,204.6567800239643,,,0.0014497184463469572,0.0014521507747215633,0.001536164457213175,44.62363376282924,44.624367474407656,44.880262554192896,1.7701448920655831,1.778291725210782,1.94831678526742,10.916470410303264,10.927485060792007,11.417998602710847,,,
usp000a1b0,6.7,10.0,35.455999999999996,133.134,EHM010,,33.4506,132.6881,226.20137807008047,,,0.003350744311336325,0.003362118937694509,0.003638445395442054,67.40568932609065,67.448033811265,69.83765961462746,7.018074390786588,7.1246204265025534,8.352157825982868,22.141836943421282,22.143314659946103,22.399128850968946,,,
usp000a1b0,6.7,10.0,35.455999999999996,133.134,EHM011,,33.4496,132.4336,231.6878131388672,,,0.003208211395013226,0.00326921135741369,0.00389779909540255,71.99357830380517,72.30192757093606,78.9722659046911,6.006128480746589,6.376466570281192,8.517902208977405,22.902182880953628,22.902183281123136,22.90646457892507,,,
usp000a1b0,6.7,10.0,35.455999999999996,133.134,EHM012,,33.2217,132.5727,253.170427092387,,,0.0017519806927858135,0.0018188871247379515,0.0023076754476787035,45.61410633888082,45.93173465989182,51.32409516082095,2.6011347413006702,3.0325537201737176,4.591553439012098,20.676150771854005,20.702907978286266,21.75513799921805,,,
usp000a1b0,6.7,10.0,35.455999999999996,133.134,EHM015,,33.6105,132.4814,213.30952895469903,,,0.0038520397436042297,0.0038835728063469186,0.004377463032906165,82.54160036819285,82.67891605821974,87.44204205064213,7.711490209339849,7.855646307328169,9.353677567714401,27.611886936031176,27.61589917054697,28.08662927331043,,,
usp000a1b0,6.7,10.0,35.455999999999996,133.134,EHM016,,33.7658,132.7088,191.51185970023968,,,0.016520499068083568,0.016520748387805574,0.01661151090556725,175.6752301180697,175.70777688043663,179.08954849137749,38.51247957861329,38.51584768996517,39.02520020393792,28.600224717738083,28.600526404950546,28.731891298118768,,,
usp000a1b0,6.7,10.0,35.455999999999996,133.134,FKI010,,35.4904,135.55100000000002,219.39346869404827,,,0.007401306101139949,0.007405299938303489,0.007648477185319411,122.02249809943413,122.03896298185579,124.04356849426122,16.021627984646347,16.02714120178692,16.447488467286384,19.086322186845454,19.422527109752828,23.020702301292893,,,
usp000a1b0,6.7,10.0,35.455999999999996,133.134,FKO002,,33.8263,130.7053,286.8072967578408,,,0.014816401519011325,0.01481915740934179,0.015104941156760462,153.61929032951343,153.75328610206424,160.17096682331234,34.9988562969799,35.0070365517456,35.76378356270933,33.73469630430201,34.7899682131322,43.29362351701541,,,
usp000a1b0,6.7,10.0,35.455999999999996,133.134,FKO003,,33.8324,130.9014,272.63398391724627,,,0.0013285990915717525,0.00133067548998565,0.001404983723198832,42.049332305332754,42.05162261193495,42.49050411336571,1.1308437799695779,1.2079112946486268,1.6324605156393608,14.696306617162216,14.768978777903467,16.232298960405238,,,
